game_id,date,park,inning,half,outs,target_base,runner_id,runner_bats,pitcher_id,catcher_id,batter_id,count,score_bat,score_def,score_diff,on_1b,on_2b,on_3b,success
ARI202207080,2022/07/08,PHO01,9,1,2,2,rojaj001,L,coloa001,servb001,luplj001,00,5,6,-1,rojaj001,,,1
ARI202207090,2022/07/09,PHO01,2,1,1,2,perdg001,B,freek001,diaze005,rojaj001,00,3,1,2,perdg001,,,0
ARI202207230,2022/07/23,PHO01,3,0,0,2,roblv001,R,bumgm001,kellc002,hernc005,01,0,2,-2,roblv001,,,1
ARI202207230,2022/07/23,PHO01,6,1,2,2,mccaj003,L,macha003,barrt004,perdg001,00,4,1,3,mccaj003,,,1
ARI202207230,2022/07/23,PHO01,6,1,2,2,perdg001,B,macha003,barrt004,rojaj001,20,5,1,4,perdg001,,,1
ARI202207240,2022/07/24,PHO01,3,0,1,3,roblv001,R,martc009,herrj003,bellj005,11,0,2,-2,sotoj001,roblv001,,0
ARI202207240,2022/07/24,PHO01,4,1,2,2,varsd001,L,fedde001,ruizk001,herrj003,00,2,1,1,varsd001,,,1
ARI202207240,2022/07/24,PHO01,6,0,1,H,ruizk001,B,smitc006,herrj003,adrie001,10,2,3,-1,,,ruizk001,0
ARI202207250,2022/07/25,PHO01,1,1,0,2,rojaj001,L,junij001,bartj003,thoma004,31,0,0,0,rojaj001,,,1
ARI202207250,2022/07/25,PHO01,1,1,1,3,rojaj001,L,junij001,bartj003,martk001,21,0,0,0,,rojaj001,,1
ARI202207250,2022/07/25,PHO01,6,1,2,3,rojaj001,L,longs002,wynna001,thoma004,22,5,0,5,,rojaj001,,1
ARI202207270,2022/07/27,PHO01,4,0,2,2,estrt001,R,gallz001,herrj003,yastm001,22,1,1,0,estrt001,,gonzl005,1
ARI202208050,2022/08/05,PHO01,5,0,1,2,blacc001,L,bumgm001,kellc002,iglej001,12,2,2,0,blacc001,,,1
ARI202208050,2022/08/05,PHO01,7,1,2,3,rojaj001,L,stepr002,diaze005,walkc002,02,4,5,-1,thoma004,rojaj001,,1
ARI202208050,2022/08/05,PHO01,8,1,2,2,perdg001,B,coloa001,diaze005,rojaj001,01,6,5,1,perdg001,,,1
ARI202208060,2022/08/06,PHO01,4,0,2,2,mcmar001,L,kellm002,kellc002,gricr001,12,0,1,-1,mcmar001,,,1
ARI202208070,2022/08/07,PHO01,1,1,2,2,varsd001,L,urenj001,diaze005,rivee001,10,2,0,2,varsd001,,,0
