game_id,date,park,inning,half,outs,target_base,runner_id,runner_bats,pitcher_id,pitcher_throws,catcher_id,batter_id,count,score_bat,score_def,score_diff,on_1b,on_2b,on_3b,success,double_steal
BAL202409070,2024/09/07,BAL12,8,0,0,2,wallt003,B,smitb005,R,mccaj001,cabaj001,00,5,1,4,wallt003,,,1,0
BAL202409080,2024/09/08,BAL12,1,0,0,2,morec001,R,burnc002,R,rutsa001,aranj001,12,0,0,0,morec001,,,0,0
BAL202409080,2024/09/08,BAL12,2,0,2,2,cabaj001,R,burnc002,R,rutsa001,wallt003,00,0,0,0,cabaj001,,,1,0
BAL202409080,2024/09/08,BAL12,2,0,2,3,cabaj001,R,burnc002,R,rutsa001,rortb001,02,0,0,0,wallt003,cabaj001,,1,1
BAL202409080,2024/09/08,BAL12,2,0,2,2,wallt003,B,burnc002,R,rutsa001,rortb001,02,0,0,0,wallt003,cabaj001,,1,1
BAL202409080,2024/09/08,BAL12,3,1,2,2,hendg002,L,littz001,R,rortb001,ohear001,00,0,0,0,hendg002,,,1,0
BAL202409170,2024/09/17,BAL12,4,0,0,2,mccrg001,L,suara001,R,rutsa001,waltd002,11,3,0,3,mccrg001,,,1,0
BAL202409170,2024/09/17,BAL12,5,1,2,2,mullc002,L,snelb001,L,bailp001,mayoc001,11,0,4,-4,mullc002,,,1,0
BAL202409170,2024/09/17,BAL12,9,0,1,2,mccrg001,L,kimbc001,R,rutsa001,waltd002,01,4,0,4,mccrg001,,,1,0
BAL202409180,2024/09/18,BAL12,7,0,2,2,wadel001,L,bowmm001,R,mccaj001,ramoh002,12,5,3,2,wadel001,,yastm001,1,0
BAL202409190,2024/09/19,BAL12,1,1,0,2,hendg002,L,webbl001,R,bailp001,mullc002,32,0,0,0,hendg002,,,1,0
BAL202409190,2024/09/19,BAL12,7,1,2,2,mullc002,L,bives001,R,bailp001,santa003,10,3,2,1,mullc002,,hendg002,1,0
BAL202409200,2024/09/20,BAL12,1,0,2,2,carpk001,L,burnc002,R,mccaj001,greer003,12,0,0,0,carpk001,,,0,0
BAL202409200,2024/09/20,BAL12,4,1,2,2,hendg002,L,montk001,R,rogej004,slata001,00,5,0,5,hendg002,,,1,0
BOS202404090,2024/04/09,BOS07,2,0,2,2,mullc002,L,bellb002,R,mcgur002,cowsc001,10,0,1,-1,mullc002,,,1,0
BOS202404090,2024/04/09,BOS07,7,0,2,3,hendg002,L,wincj001,R,mcgur002,rutsa001,11,3,1,2,,hendg002,,1,0
BOS202404100,2024/04/10,BOS07,3,0,1,2,cowsc001,L,crawk001,R,wongc001,hollj003,22,0,0,0,cowsc001,,,1,0
BOS202404110,2024/04/11,BOS07,4,1,2,2,hamid002,L,rodrg003,R,rutsa001,reyep001,21,2,0,2,hamid002,,,1,0
BOS202404110,2024/04/11,BOS07,5,0,0,2,westj002,R,whitg002,R,mcgur002,hollj003,02,1,2,-1,westj002,,,1,0
BOS202404130,2024/04/13,BOS07,1,1,2,2,rafac001,R,canng001,R,ohopl001,mcgur002,00,4,0,4,rafac001,,,0,0
BOS202404130,2024/04/13,BOS07,2,1,2,2,abrew002,L,canng001,R,ohopl001,yoshm002,01,5,0,5,abrew002,,,1,0
BOS202404130,2024/04/13,BOS07,4,1,1,2,hamid002,L,canng001,R,ohopl001,duraj001,00,6,2,4,hamid002,,,1,0
BOS202404130,2024/04/13,BOS07,6,1,1,2,valde002,L,fulmc001,R,ohopl001,mcgur002,10,7,2,5,valde002,,,0,0
BOS202404140,2024/04/14,BOS07,3,0,1,2,rengl001,B,bellb002,R,wongc001,troum001,22,2,2,0,rengl001,,,1,0
BOS202404140,2024/04/14,BOS07,5,1,2,3,reyep001,R,cimba001,R,ohopl001,abrew002,32,3,2,1,casat001,reyep001,,0,0
BOS202404140,2024/04/14,BOS07,6,1,2,2,wongc001,R,suarj001,L,ohopl001,duraj001,00,5,2,3,wongc001,,,0,0
BOS202404150,2024/04/15,BOS07,5,1,1,2,abrew002,L,currx001,R,naylb001,mcgur002,10,0,0,0,abrew002,,,1,0
BOS202404150,2024/04/15,BOS07,8,0,1,2,roccb001,B,wincj001,R,mcgur002,kwans001,01,2,0,2,roccb001,,,1,0
BOS202404160,2024/04/16,BOS07,2,1,0,3,casat001,L,bibet001,R,naylb001,abrew002,32,0,2,-2,,casat001,,0,0
BOS202404160,2024/04/16,BOS07,7,1,1,2,abrew002,L,morge001,R,naylb001,valde002,02,6,5,1,abrew002,,,1,0
BOS202404160,2024/04/16,BOS07,10,0,0,2,naylb001,L,weisg001,R,wongc001,flore001,21,6,6,0,naylb001,,naylj001,1,0
BOS202404170,2024/04/17,BOS07,2,1,0,2,abrew002,L,liveb001,R,hedga001,valde002,32,0,0,0,abrew002,,,1,0
BOS202404180,2024/04/18,BOS07,1,1,0,2,duraj001,L,carrc003,R,naylb001,casat001,01,0,0,0,duraj001,,,1,0
BOS202404180,2024/04/18,BOS07,5,0,2,2,ramij003,B,jacqj001,L,mcgur002,naylj001,01,4,1,3,ramij003,,gimea001,1,0
BOS202404260,2024/04/26,BOS07,7,0,1,3,taucm001,L,rodrj004,L,wongc001,morec001,10,4,1,3,,taucm001,,1,0
BOS202404270,2024/04/27,BOS07,5,1,1,3,rafac001,R,brewc002,R,gomey001,duraj001,20,8,0,8,,rafac001,,1,0
BOS202404280,2024/04/28,BOS07,2,1,2,2,dalbb001,R,wesnh001,R,amaym001,duraj001,00,1,0,1,dalbb001,,,1,0
BOS202404300,2024/04/30,BOS07,2,1,1,2,mcgur002,L,webbl001,R,bailp001,rafac001,12,1,0,1,mcgur002,,,1,0
BOS202404300,2024/04/30,BOS07,4,1,0,2,duraj001,L,webbl001,R,bailp001,dever001,10,3,0,3,duraj001,,,1,0
BOS202404300,2024/04/30,BOS07,7,1,1,2,dalbb001,R,roupl001,R,bailp001,mcgur002,00,4,0,4,dalbb001,,,1,0
BOS202404300,2024/04/30,BOS07,8,0,1,2,estrt001,R,kellz001,R,mcgur002,yastm001,22,0,4,-4,estrt001,,,1,0
BOS202405010,2024/05/01,BOS07,2,1,1,2,abrew002,L,jeffd001,R,murpt002,smitd008,00,0,0,0,abrew002,,,1,0
BOS202405100,2024/05/10,BOS07,2,0,2,2,lipst001,R,houct001,R,wongc001,roblv001,00,2,0,2,lipst001,,,1,0
