date,inning,half,outs,base_code,score_diff,target,p_model,success,layer,break_even,decision,actual_value,min_n
2025/06/10,3,1,1,1__,2,2,0.7967851,1,RE24,0.737073953057131,GO,0.1520335778796702,
2025/06/10,5,0,1,1__,-2,2,0.7000302,1,RE24,0.737073953057131,HOLD,0.1520335778796702,
2025/06/10,2,1,2,_2_,0,3,0.65857065,1,RE24,0.9146524436294244,HOLD,0.030112566726497536,
2025/06/10,4,0,2,1_3,0,2,0.83184725,1,RE24,0.900822946052356,HOLD,0.05535319323452881,
2025/06/10,2,0,2,1__,1,2,0.81317955,1,RE24,0.7143336095124673,GO,0.09218747726831977,
2025/06/10,6,1,1,1__,1,2,0.6181747,0,RE24,0.737073953057131,HOLD,-0.4262034573909564,
2025/06/10,7,1,2,1__,1,2,0.8015973,1,WP,0.7711911874533222,GO,0.009929390997352239,154.0
2025/06/10,5,1,2,1__,-3,2,0.86224127,1,RE24,0.7143336095124673,GO,0.09218747726831977,
2025/06/10,7,0,1,1__,3,2,0.8197753,1,WP,0.4237686959685515,GO,0.062077656823762095,87.0
2025/06/10,9,0,1,12_,2,3,0.8561319,0,WP,0.15806163102691317,GO,-0.010110466204830582,36.0
2025/06/10,6,0,2,_2_,4,3,0.73194903,1,RE24,0.9146524436294244,HOLD,0.030112566726497536,
2025/06/10,7,1,0,1_3,2,2,0.89737195,1,WP,0.3785714285714294,GO,0.042857142857142816,29.0
2025/06/10,2,0,2,1__,0,2,0.7272088,1,RE24,0.7143336095124673,GO,0.09218747726831977,
2025/06/10,6,0,1,1__,5,2,0.8420237,1,RE24,0.737073953057131,GO,0.1520335778796702,
2025/06/10,2,1,2,1__,-3,2,0.8388888,1,RE24,0.7143336095124673,GO,0.09218747726831977,
2025/06/10,2,1,2,1__,1,2,0.79378486,1,RE24,0.7143336095124673,GO,0.09218747726831977,
2025/06/10,5,1,0,1_3,-1,2,0.9102224,1,RE24,0.9099413034506152,GO,0.08884213838671284,
2025/06/10,8,0,1,12_,4,3,0.99625766,1,RE24,0.7292602919730533,GO,0.26300818541612947,
2025/06/10,8,0,1,12_,4,2,0.9952349,1,RE24,0.5919980671521771,GO,0.42471437910642673,
2025/06/10,5,0,2,1_3,3,2,0.8899432,1,RE24,0.900822946052356,HOLD,0.05535319323452881,
